2. maailmansota,II maailmansota,toinen maailmansota        Vapaa Ranska
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        pallium
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        palvelus<broader/>,ristisaatto
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        piispa
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        piispan apulainen<approximate/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        prelaatti<broader/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        provinsiaali
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        pyhän Jumalansynnyttäjän Marian juhlapäivä,tammikuun 1. päivä
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        rippi,synnintunnustus
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        sielunmessu
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        sisar
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        sursum corda
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        tuomiorovasti
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        veli
Sanskrit,Sanskrit-kieli        Agni
Sanskrit,Sanskrit-kieli        Asvins
Sanskrit,Sanskrit-kieli        Ayurveda
Sanskrit,Sanskrit-kieli        Darsana
Sanskrit,Sanskrit-kieli        Mimamsa
Sanskrit,Sanskrit-kieli        Vedanta
Sanskrit,Sanskrit-kieli        Veda,Veda-kirjat
Sanskrit,Sanskrit-kieli        optatiivi
Sieni,kunta Sienet        Tremella reticulata
Sieni,kunta Sienet        rengas
Sieni,kunta Sienet        saprofyyttinen
TV,televisio,televisiointi,video        aaltoalue,taajuusalue,taajuuskaista
TV,televisio,televisiointi,video        lähettää televisiossa,televisioida
TV,televisio,televisiointi,video        lähettää värillisenä
TV,televisio,televisiointi,video        näköradio,televisio,televisiojärjestelmä
TV,televisio,televisiointi,video        pikauusinta,uusinta
TV,televisio,televisiointi,video        pönttö,teevee,televisio,televisiolaite,televisiovastaanotin,telkka,telkkari,telkku,tv,töllö,töllötin
TV,televisio,televisiointi,video        rajoitettu tekstitys<idiomatic_pos/>
TV,televisio,televisiointi,video        sohvaperuna
Tuhannen ja yhden yön tarinat        Aladdinin lamppu
Uusi Testamentti        Ananias
Uusi Testamentti        Andreas,Pyhä Andreas,apostoli Andreas
Uusi Testamentti        Apostoli Paavali,Paavali,Pyhä Paavali,Saul,Saul Tarsolainen
Uusi Testamentti        Balthasar
Uusi Testamentti        Caspar,Gaspar,Kaspar
Uusi Testamentti        Filemon
Uusi Testamentti        Harmageddon,Harmagedon
Uusi Testamentti        Jaakob,apostoli Jaakob,pyhä Jaakob
Uusi Testamentti        Johannes Kastaja,Johannes<broader/>,Pyhä Johannes<broader/>
Uusi Testamentti        Johannes,Johannes Evankelista,Pyhä Johannes,apostoli Johannes
Uusi Testamentti        Joosef
Uusi Testamentti        Juudas,Juudas Iskariot
Uusi Testamentti        Juudas,P. Juudas,Pyhä Juudas,Taddeus
Uusi Testamentti        Kristuksen kirkastus,kirkastus
Uusi Testamentti        Kristuksen taivaaseenastuminen
Uusi Testamentti        Kristuksen ylösnousemus,ylösnousemus
Uusi Testamentti        Leevi,Matteus,Pyhä Matteus,apostoli Matteus
Uusi Testamentti        Luukas,P. Luukas,Pyhä Luukas
Uusi Testamentti        Melchior
Uusi Testamentti        Tuomiopäivä,Viimeinen päivä,maailmanloppu,tuomiopäivä,tuomiopäivän koittaminen
Uusi Testamentti        apostoli,opetuslapsi
Uusi Testamentti        itämaan viisaat tietäjät,maagi,tietäjät
Uusi Testamentti        mammona
Uusi Testamentti        tuhatvuotinen valtakunta
Uusi Testamentti        vertaus
Vanha testamentti        Aadam,Adam
Vanha testamentti        Aaron
Vanha testamentti        Abel
Vanha testamentti        Batseba
Vanha testamentti        Belsassar
Vanha testamentti        Benjamin
Vanha testamentti        Daavid
Vanha testamentti        Daniel
