viisi,penni 398 14
virka,toimittaa 450 12
virkistää,vaikuttaa 195 1
viskaali,rouva 217 3
voittaa,suosio 318 9
voitto,tappio 433 5
vuoksi,luode 319 2
vuoksi,varovaisuus 375 10
vyötäinen,kietoa 371 15
väistyä,tie 443 12
väki,viidakko 215 3
välittää,paljo 222 4
välskäri,kertomus 573 7
vänrikki,stoola 843 1
vänrikki,tarina 564 1
vääryys,sorto 206 1
ydin,luu 1280 3
yhdeksäs,luku 540 25
ylempi,alempi 509 17
ylhäinen,alhainen 1011 60
ylistys,kiitos 423 5
ylistys,perkele 221 1
ylistää,kiittää 469 11
yritys,onnistua 583 30
ystävyys,liitto 254 6
ystävällinen,kohtelias 256 5
äänettömyys,seurata 293 10
äänettömyys,syntyä 774 22
