vanhurskaus,janota 19 412
vankila,passittaa 19 396
vannoa,valaa 30 1180
varasto,lajitella 19 824
varkaus,törkeä 38 2911
vartija,veli 13 341
vasemmisto,äärimmäinen 39 1161
vasen,rappu 13 603
vatkata,kerma 29 1110
vatsa,roikkua 18 424
vedellä,huuhdella 28 600
vedellä,jäähdyttää 19 440
vedellä,kuuma 25 972
vedellä,laimentaa 39 854
vedellä,miedontaa 19 734
veisuu,virsi 19 664
veli,vartija 13 341
vero,välillinen 59 1008
vetoinen,litra 19 1035
vierailu,virallinen 19 384
vieri,vieriä 34 603
vieri,vuode 27 689
viesti,viejä 49 885
vietti,lapsuus 18 361
vietto,ehtoollinen 19 1467
vihollinen,hyökkäävä 19 475
vihreä,herne 46 796
viipale,ohut 58 1185
vilkas,viritä 44 979
vilustaa,värinen 19 1761
vilu,värjöttää 69 1006
virallinen,vierailu 19 384
virka,sijaisuus 19 508
virkistää,vaihtelu 18 476
vokaali,tavu 19 718
vouti,konttori 29 669
vuode,vieri 27 689
väestö,tilaton 49 1354
väitellä,kiivas 25 594
vänrikki,ylentää 19 511
värinen,vilustaa 19 1761
värjäri,ammatti 19 607
väsyä,vaeltaja 18 485
vääryys,karsia 36 714
ylellinen,nautinto 18 369
ylentää,vänrikki 19 511
ylhäisyys,ruhtinaallinen 18 523
yöpyä,matkustaja 18 1159
älyllinen,taso 19 391
äärimmäinen,oikeisto 69 1225
äärimmäinen,vasemmisto 39 1161
ääri,paari 34 1118
